id,input,expected_output
1,Laura is hitched to Sarah. Their kid Thomas had a bday yesterday. The internet connection failed several times.,"Laura ---> [SPOUSE] ---> Sarah
Sarah ---> [SPOUSE] ---> Laura
Laura ---> [CHILD] ---> Thomas
Sarah ---> [CHILD] ---> Thomas
Thomas ---> [PARENT] ---> Laura
Thomas ---> [PARENT] ---> Sarah"
2,Thomas is hitched to James. Their kid Sarah had a bday yesterday. They also bought a new printer for the office.,"Thomas ---> [SPOUSE] ---> James
James ---> [SPOUSE] ---> Thomas
Thomas ---> [CHILD] ---> Sarah
James ---> [CHILD] ---> Sarah
Sarah ---> [PARENT] ---> Thomas
Sarah ---> [PARENT] ---> James"
3,Emily and Thomas adopted James years ago. Many mistakenly believe they are their nephew. The internet connection failed several times.,"Emily ---> [CHILD] ---> James
Thomas ---> [CHILD] ---> James
James ---> [PARENT] ---> Emily
James ---> [PARENT] ---> Thomas"
4,Laura was born on 05/12/1980. They are married to Sophia. Their child Olivia was born on 02/08/2010. The temperature reached 34 degrees during the afternoon. Jonathan is the sibling of Laura.,"Laura ---> [SPOUSE] ---> Sophia
Sophia ---> [SPOUSE] ---> Laura
Laura ---> [CHILD] ---> Olivia
Sophia ---> [CHILD] ---> Olivia
Olivia ---> [PARENT] ---> Laura
Olivia ---> [PARENT] ---> Sophia
Laura ---> [SIBLING] ---> Jonathan
Jonathan ---> [SIBLING] ---> Laura
Laura ---> [BIRTHDATE] ---> 05/12/1980
Olivia ---> [BIRTHDATE] ---> 02/08/2010"
5,"Olivia was previously married to Sarah, but currently lives with Thomas. Robert is the child of Olivia and Sarah. The team lost three consecutive matches.","Olivia ---> [SPOUSE] ---> Sarah
Sarah ---> [SPOUSE] ---> Olivia
Olivia ---> [CHILD] ---> Robert
Sarah ---> [CHILD] ---> Robert
Robert ---> [PARENT] ---> Olivia
Robert ---> [PARENT] ---> Sarah"
6,Sarah was born on 05/12/1980. They are married to James. Their child Robert was born on 02/08/2010. The internet connection failed several times. Laura is the sibling of Sarah.,"Sarah ---> [SPOUSE] ---> James
James ---> [SPOUSE] ---> Sarah
Sarah ---> [CHILD] ---> Robert
James ---> [CHILD] ---> Robert
Robert ---> [PARENT] ---> Sarah
Robert ---> [PARENT] ---> James
Sarah ---> [SIBLING] ---> Laura
Laura ---> [SIBLING] ---> Sarah
Sarah ---> [BIRTHDATE] ---> 05/12/1980
Robert ---> [BIRTHDATE] ---> 02/08/2010"
7,James and Sarah adopted Robert years ago. Many mistakenly believe they are their nephew. Sometimes they write messages with spelling mistakes.,"James ---> [CHILD] ---> Robert
Sarah ---> [CHILD] ---> Robert
Robert ---> [PARENT] ---> James
Robert ---> [PARENT] ---> Sarah"
8,Sarah is hitched to James. Their kid Michael had a bday yesterday. They also bought a new printer for the office.,"Sarah ---> [SPOUSE] ---> James
James ---> [SPOUSE] ---> Sarah
Sarah ---> [CHILD] ---> Michael
James ---> [CHILD] ---> Michael
Michael ---> [PARENT] ---> Sarah
Michael ---> [PARENT] ---> James"
9,"Michael, Emily, James, and Laura participated in a chess tournament. By the way, the price of oranges went up quite a bit this year. No family relationship was indicated.",
10,"Robert and Sarah celebrated the birthday of their daughter Thomas. She received many gifts. The conference lasted for more than four hours. Anna, Sarah's sister, also attended.","Robert ---> [CHILD] ---> Thomas
Sarah ---> [CHILD] ---> Thomas
Thomas ---> [PARENT] ---> Robert
Thomas ---> [PARENT] ---> Sarah
Sarah ---> [SIBLING] ---> Anna
Anna ---> [SIBLING] ---> Sarah"
11,James was born on 05/12/1980. They are married to David. Their child Jonathan was born on 02/08/2010. The internet connection failed several times. Thomas is the sibling of James.,"James ---> [SPOUSE] ---> David
David ---> [SPOUSE] ---> James
James ---> [CHILD] ---> Jonathan
David ---> [CHILD] ---> Jonathan
Jonathan ---> [PARENT] ---> James
Jonathan ---> [PARENT] ---> David
James ---> [SIBLING] ---> Thomas
Thomas ---> [SIBLING] ---> James
James ---> [BIRTHDATE] ---> 05/12/1980
Jonathan ---> [BIRTHDATE] ---> 02/08/2010"
12,"Laura and Jonathan celebrated the birthday of their daughter Sarah. She received many gifts. The temperature reached 34 degrees during the afternoon. Robert, Jonathan's sister, also attended.","Laura ---> [CHILD] ---> Sarah
Jonathan ---> [CHILD] ---> Sarah
Sarah ---> [PARENT] ---> Laura
Sarah ---> [PARENT] ---> Jonathan
Jonathan ---> [SIBLING] ---> Robert
Robert ---> [SIBLING] ---> Jonathan"
13,"Thomas and Anna celebrated the birthday of their daughter Sarah. She received many gifts. No one remembered where the keys were. Robert, Anna's sister, also attended.","Thomas ---> [CHILD] ---> Sarah
Anna ---> [CHILD] ---> Sarah
Sarah ---> [PARENT] ---> Thomas
Sarah ---> [PARENT] ---> Anna
Anna ---> [SIBLING] ---> Robert
Robert ---> [SIBLING] ---> Anna"
14,"Laura visited Thomas along with David. Later, Michael arrived. It was unclear if there was any kinship.",
15,Thomas and Jonathan adopted Michael years ago. Many mistakenly believe they are their nephew. The temperature reached 34 degrees during the afternoon.,"Thomas ---> [CHILD] ---> Michael
Jonathan ---> [CHILD] ---> Michael
Michael ---> [PARENT] ---> Thomas
Michael ---> [PARENT] ---> Jonathan"
16,Laura is hitched to Thomas. Their kid Sophia had a bday yesterday. They also bought a new printer for the office.,"Laura ---> [SPOUSE] ---> Thomas
Thomas ---> [SPOUSE] ---> Laura
Laura ---> [CHILD] ---> Sophia
Thomas ---> [CHILD] ---> Sophia
Sophia ---> [PARENT] ---> Laura
Sophia ---> [PARENT] ---> Thomas"
17,"Laura was previously married to Anna, but currently lives with Sophia. Olivia is the child of Laura and Anna. By the way, the price of oranges went up quite a bit this year.","Laura ---> [SPOUSE] ---> Anna
Anna ---> [SPOUSE] ---> Laura
Laura ---> [CHILD] ---> Olivia
Anna ---> [CHILD] ---> Olivia
Olivia ---> [PARENT] ---> Laura
Olivia ---> [PARENT] ---> Anna"
18,"Laura visited Sophia along with Jonathan. Later, Olivia arrived. It was unclear if there was any kinship.",
19,Robert was born on 05/12/1980. They are married to Laura. Their child Michael was born on 02/08/2010. The temperature reached 34 degrees during the afternoon. Sophia is the sibling of Robert.,"Robert ---> [SPOUSE] ---> Laura
Laura ---> [SPOUSE] ---> Robert
Robert ---> [CHILD] ---> Michael
Laura ---> [CHILD] ---> Michael
Michael ---> [PARENT] ---> Robert
Michael ---> [PARENT] ---> Laura
Robert ---> [SIBLING] ---> Sophia
Sophia ---> [SIBLING] ---> Robert
Robert ---> [BIRTHDATE] ---> 05/12/1980
Michael ---> [BIRTHDATE] ---> 02/08/2010"
20,David was born on 05/12/1980. They are married to Olivia. Their child Sarah was born on 02/08/2010. The conference lasted for more than four hours. Robert is the sibling of David.,"David ---> [SPOUSE] ---> Olivia
Olivia ---> [SPOUSE] ---> David
David ---> [CHILD] ---> Sarah
Olivia ---> [CHILD] ---> Sarah
Sarah ---> [PARENT] ---> David
Sarah ---> [PARENT] ---> Olivia
David ---> [SIBLING] ---> Robert
Robert ---> [SIBLING] ---> David
David ---> [BIRTHDATE] ---> 05/12/1980
Sarah ---> [BIRTHDATE] ---> 02/08/2010"
21,David and James adopted Michael years ago. Many mistakenly believe they are their nephew. Nobody really liked the movie they watched on Saturday.,"David ---> [CHILD] ---> Michael
James ---> [CHILD] ---> Michael
Michael ---> [PARENT] ---> David
Michael ---> [PARENT] ---> James"
22,"Olivia and Jonathan celebrated the birthday of their daughter Sophia. She received many gifts. They also bought a new printer for the office. Michael, Jonathan's sister, also attended.","Olivia ---> [CHILD] ---> Sophia
Jonathan ---> [CHILD] ---> Sophia
Sophia ---> [PARENT] ---> Olivia
Sophia ---> [PARENT] ---> Jonathan
Jonathan ---> [SIBLING] ---> Michael
Michael ---> [SIBLING] ---> Jonathan"
23,"Laura and Sarah celebrated the birthday of their daughter James. She received many gifts. By the way, the price of oranges went up quite a bit this year. David, Sarah's sister, also attended.","Laura ---> [CHILD] ---> James
Sarah ---> [CHILD] ---> James
James ---> [PARENT] ---> Laura
James ---> [PARENT] ---> Sarah
Sarah ---> [SIBLING] ---> David
David ---> [SIBLING] ---> Sarah"
24,Michael is hitched to Thomas. Their kid Emily had a bday yesterday. Nobody really liked the movie they watched on Saturday.,"Michael ---> [SPOUSE] ---> Thomas
Thomas ---> [SPOUSE] ---> Michael
Michael ---> [CHILD] ---> Emily
Thomas ---> [CHILD] ---> Emily
Emily ---> [PARENT] ---> Michael
Emily ---> [PARENT] ---> Thomas"
25,Olivia was born on 05/12/1980. They are married to Anna. Their child Michael was born on 02/08/2010. The internet connection failed several times. Laura is the sibling of Olivia.,"Olivia ---> [SPOUSE] ---> Anna
Anna ---> [SPOUSE] ---> Olivia
Olivia ---> [CHILD] ---> Michael
Anna ---> [CHILD] ---> Michael
Michael ---> [PARENT] ---> Olivia
Michael ---> [PARENT] ---> Anna
Olivia ---> [SIBLING] ---> Laura
Laura ---> [SIBLING] ---> Olivia
Olivia ---> [BIRTHDATE] ---> 05/12/1980
Michael ---> [BIRTHDATE] ---> 02/08/2010"
26,Michael was born on 05/12/1980. They are married to Sarah. Their child David was born on 02/08/2010. The train arrived twenty minutes late. Emily is the sibling of Michael.,"Michael ---> [SPOUSE] ---> Sarah
Sarah ---> [SPOUSE] ---> Michael
Michael ---> [CHILD] ---> David
Sarah ---> [CHILD] ---> David
David ---> [PARENT] ---> Michael
David ---> [PARENT] ---> Sarah
Michael ---> [SIBLING] ---> Emily
Emily ---> [SIBLING] ---> Michael
Michael ---> [BIRTHDATE] ---> 05/12/1980
David ---> [BIRTHDATE] ---> 02/08/2010"
27,Emily is hitched to Laura. Their kid Robert had a bday yesterday. They also bought a new printer for the office.,"Emily ---> [SPOUSE] ---> Laura
Laura ---> [SPOUSE] ---> Emily
Emily ---> [CHILD] ---> Robert
Laura ---> [CHILD] ---> Robert
Robert ---> [PARENT] ---> Emily
Robert ---> [PARENT] ---> Laura"
28,"Emily, Robert, David, and Jonathan participated in a chess tournament. The team lost three consecutive matches. No family relationship was indicated.",
29,"Michael and Thomas celebrated the birthday of their daughter Anna. She received many gifts. The conference lasted for more than four hours. Robert, Thomas's sister, also attended.","Michael ---> [CHILD] ---> Anna
Thomas ---> [CHILD] ---> Anna
Anna ---> [PARENT] ---> Michael
Anna ---> [PARENT] ---> Thomas
Thomas ---> [SIBLING] ---> Robert
Robert ---> [SIBLING] ---> Thomas"
30,"Robert and Laura celebrated the birthday of their daughter Anna. She received many gifts. By the way, the price of oranges went up quite a bit this year. Jonathan, Laura's sister, also attended.","Robert ---> [CHILD] ---> Anna
Laura ---> [CHILD] ---> Anna
Anna ---> [PARENT] ---> Robert
Anna ---> [PARENT] ---> Laura
Laura ---> [SIBLING] ---> Jonathan
Jonathan ---> [SIBLING] ---> Laura"
31,Sophia was born on 05/12/1980. They are married to Jonathan. Their child James was born on 02/08/2010. They also bought a new printer for the office. Robert is the sibling of Sophia.,"Sophia ---> [SPOUSE] ---> Jonathan
Jonathan ---> [SPOUSE] ---> Sophia
Sophia ---> [CHILD] ---> James
Jonathan ---> [CHILD] ---> James
James ---> [PARENT] ---> Sophia
James ---> [PARENT] ---> Jonathan
Sophia ---> [SIBLING] ---> Robert
Robert ---> [SIBLING] ---> Sophia
Sophia ---> [BIRTHDATE] ---> 05/12/1980
James ---> [BIRTHDATE] ---> 02/08/2010"
32,Jonathan is hitched to Thomas. Their kid James had a bday yesterday. The temperature reached 34 degrees during the afternoon.,"Jonathan ---> [SPOUSE] ---> Thomas
Thomas ---> [SPOUSE] ---> Jonathan
Jonathan ---> [CHILD] ---> James
Thomas ---> [CHILD] ---> James
James ---> [PARENT] ---> Jonathan
James ---> [PARENT] ---> Thomas"
33,"Emily visited Thomas along with David. Later, Sophia arrived. It was unclear if there was any kinship.",
34,"Anna, Emily, David, and Michael participated in a chess tournament. No one remembered where the keys were. No family relationship was indicated.",
35,David is hitched to Anna. Their kid Sophia had a bday yesterday. Sometimes they write messages with spelling mistakes.,"David ---> [SPOUSE] ---> Anna
Anna ---> [SPOUSE] ---> David
David ---> [CHILD] ---> Sophia
Anna ---> [CHILD] ---> Sophia
Sophia ---> [PARENT] ---> David
Sophia ---> [PARENT] ---> Anna"
36,"Sarah was previously married to Michael, but currently lives with James. David is the child of Sarah and Michael. The internet connection failed several times.","Sarah ---> [SPOUSE] ---> Michael
Michael ---> [SPOUSE] ---> Sarah
Sarah ---> [CHILD] ---> David
Michael ---> [CHILD] ---> David
David ---> [PARENT] ---> Sarah
David ---> [PARENT] ---> Michael"
37,Michael and Robert adopted Sarah years ago. Many mistakenly believe they are their nephew. The team lost three consecutive matches.,"Michael ---> [CHILD] ---> Sarah
Robert ---> [CHILD] ---> Sarah
Sarah ---> [PARENT] ---> Michael
Sarah ---> [PARENT] ---> Robert"
38,Michael and Sophia adopted David years ago. Many mistakenly believe they are their nephew. The conference lasted for more than four hours.,"Michael ---> [CHILD] ---> David
Sophia ---> [CHILD] ---> David
David ---> [PARENT] ---> Michael
David ---> [PARENT] ---> Sophia"
39,"Emily and Laura adopted Jonathan years ago. Many mistakenly believe they are their nephew. By the way, the price of oranges went up quite a bit this year.","Emily ---> [CHILD] ---> Jonathan
Laura ---> [CHILD] ---> Jonathan
Jonathan ---> [PARENT] ---> Emily
Jonathan ---> [PARENT] ---> Laura"
40,"Sarah was previously married to Laura, but currently lives with David. Michael is the child of Sarah and Laura. The conference lasted for more than four hours.","Sarah ---> [SPOUSE] ---> Laura
Laura ---> [SPOUSE] ---> Sarah
Sarah ---> [CHILD] ---> Michael
Laura ---> [CHILD] ---> Michael
Michael ---> [PARENT] ---> Sarah
Michael ---> [PARENT] ---> Laura"
41,Jonathan and David adopted Laura years ago. Many mistakenly believe they are their nephew. The internet connection failed several times.,"Jonathan ---> [CHILD] ---> Laura
David ---> [CHILD] ---> Laura
Laura ---> [PARENT] ---> Jonathan
Laura ---> [PARENT] ---> David"
42,"Anna and James celebrated the birthday of their daughter Sophia. She received many gifts. The temperature reached 34 degrees during the afternoon. Olivia, James's sister, also attended.","Anna ---> [CHILD] ---> Sophia
James ---> [CHILD] ---> Sophia
Sophia ---> [PARENT] ---> Anna
Sophia ---> [PARENT] ---> James
James ---> [SIBLING] ---> Olivia
Olivia ---> [SIBLING] ---> James"
43,"Robert visited Sophia along with Laura. Later, James arrived. It was unclear if there was any kinship.",
44,Thomas and Laura adopted Sarah years ago. Many mistakenly believe they are their nephew. The conference lasted for more than four hours.,"Thomas ---> [CHILD] ---> Sarah
Laura ---> [CHILD] ---> Sarah
Sarah ---> [PARENT] ---> Thomas
Sarah ---> [PARENT] ---> Laura"
45,Sarah and Jonathan adopted Sophia years ago. Many mistakenly believe they are their nephew. No one remembered where the keys were.,"Sarah ---> [CHILD] ---> Sophia
Jonathan ---> [CHILD] ---> Sophia
Sophia ---> [PARENT] ---> Sarah
Sophia ---> [PARENT] ---> Jonathan"
46,"Michael, James, Sophia, and Anna participated in a chess tournament. No one remembered where the keys were. No family relationship was indicated.",
47,Sophia was born on 05/12/1980. They are married to Emily. Their child Robert was born on 02/08/2010. Sometimes they write messages with spelling mistakes. Michael is the sibling of Sophia.,"Sophia ---> [SPOUSE] ---> Emily
Emily ---> [SPOUSE] ---> Sophia
Sophia ---> [CHILD] ---> Robert
Emily ---> [CHILD] ---> Robert
Robert ---> [PARENT] ---> Sophia
Robert ---> [PARENT] ---> Emily
Sophia ---> [SIBLING] ---> Michael
Michael ---> [SIBLING] ---> Sophia
Sophia ---> [BIRTHDATE] ---> 05/12/1980
Robert ---> [BIRTHDATE] ---> 02/08/2010"
48,"Olivia, Sophia, Emily, and Anna participated in a chess tournament. They also bought a new printer for the office. No family relationship was indicated.",
49,Anna is hitched to Laura. Their kid Michael had a bday yesterday. Sometimes they write messages with spelling mistakes.,"Anna ---> [SPOUSE] ---> Laura
Laura ---> [SPOUSE] ---> Anna
Anna ---> [CHILD] ---> Michael
Laura ---> [CHILD] ---> Michael
Michael ---> [PARENT] ---> Anna
Michael ---> [PARENT] ---> Laura"
50,Sophia is hitched to Olivia. Their kid Robert had a bday yesterday. The team lost three consecutive matches.,"Sophia ---> [SPOUSE] ---> Olivia
Olivia ---> [SPOUSE] ---> Sophia
Sophia ---> [CHILD] ---> Robert
Olivia ---> [CHILD] ---> Robert
Robert ---> [PARENT] ---> Sophia
Robert ---> [PARENT] ---> Olivia"
51,"Michael was previously married to Anna, but currently lives with Jonathan. Thomas is the child of Michael and Anna. By the way, the price of oranges went up quite a bit this year.","Michael ---> [SPOUSE] ---> Anna
Anna ---> [SPOUSE] ---> Michael
Michael ---> [CHILD] ---> Thomas
Anna ---> [CHILD] ---> Thomas
Thomas ---> [PARENT] ---> Michael
Thomas ---> [PARENT] ---> Anna"
52,James and Thomas adopted Emily years ago. Many mistakenly believe they are their nephew. Sometimes they write messages with spelling mistakes.,"James ---> [CHILD] ---> Emily
Thomas ---> [CHILD] ---> Emily
Emily ---> [PARENT] ---> James
Emily ---> [PARENT] ---> Thomas"
53,Anna is hitched to David. Their kid Robert had a bday yesterday. No one remembered where the keys were.,"Anna ---> [SPOUSE] ---> David
David ---> [SPOUSE] ---> Anna
Anna ---> [CHILD] ---> Robert
David ---> [CHILD] ---> Robert
Robert ---> [PARENT] ---> Anna
Robert ---> [PARENT] ---> David"
54,Michael and Laura adopted Sophia years ago. Many mistakenly believe they are their nephew. Sometimes they write messages with spelling mistakes.,"Michael ---> [CHILD] ---> Sophia
Laura ---> [CHILD] ---> Sophia
Sophia ---> [PARENT] ---> Michael
Sophia ---> [PARENT] ---> Laura"
55,Sarah is hitched to James. Their kid Thomas had a bday yesterday. The internet connection failed several times.,"Sarah ---> [SPOUSE] ---> James
James ---> [SPOUSE] ---> Sarah
Sarah ---> [CHILD] ---> Thomas
James ---> [CHILD] ---> Thomas
Thomas ---> [PARENT] ---> Sarah
Thomas ---> [PARENT] ---> James"
56,"Emily visited Jonathan along with Laura. Later, Sophia arrived. It was unclear if there was any kinship.",
57,"James and Jonathan celebrated the birthday of their daughter Robert. She received many gifts. Sometimes they write messages with spelling mistakes. Sarah, Jonathan's sister, also attended.","James ---> [CHILD] ---> Robert
Jonathan ---> [CHILD] ---> Robert
Robert ---> [PARENT] ---> James
Robert ---> [PARENT] ---> Jonathan
Jonathan ---> [SIBLING] ---> Sarah
Sarah ---> [SIBLING] ---> Jonathan"
58,"Emily visited Jonathan along with Robert. Later, Sophia arrived. It was unclear if there was any kinship.",
59,"David, Anna, Jonathan, and Robert participated in a chess tournament. Sometimes they write messages with spelling mistakes. No family relationship was indicated.",
60,Sophia and Olivia adopted Laura years ago. Many mistakenly believe they are their nephew. Nobody really liked the movie they watched on Saturday.,"Sophia ---> [CHILD] ---> Laura
Olivia ---> [CHILD] ---> Laura
Laura ---> [PARENT] ---> Sophia
Laura ---> [PARENT] ---> Olivia"
61,"Anna, James, David, and Thomas participated in a chess tournament. The internet connection failed several times. No family relationship was indicated.",
62,Sarah and Anna adopted Emily years ago. Many mistakenly believe they are their nephew. Sometimes they write messages with spelling mistakes.,"Sarah ---> [CHILD] ---> Emily
Anna ---> [CHILD] ---> Emily
Emily ---> [PARENT] ---> Sarah
Emily ---> [PARENT] ---> Anna"
63,"Olivia was born on 05/12/1980. They are married to David. Their child Sophia was born on 02/08/2010. By the way, the price of oranges went up quite a bit this year. Laura is the sibling of Olivia.","Olivia ---> [SPOUSE] ---> David
David ---> [SPOUSE] ---> Olivia
Olivia ---> [CHILD] ---> Sophia
David ---> [CHILD] ---> Sophia
Sophia ---> [PARENT] ---> Olivia
Sophia ---> [PARENT] ---> David
Olivia ---> [SIBLING] ---> Laura
Laura ---> [SIBLING] ---> Olivia
Olivia ---> [BIRTHDATE] ---> 05/12/1980
Sophia ---> [BIRTHDATE] ---> 02/08/2010"
64,Laura and Sarah adopted Michael years ago. Many mistakenly believe they are their nephew. The temperature reached 34 degrees during the afternoon.,"Laura ---> [CHILD] ---> Michael
Sarah ---> [CHILD] ---> Michael
Michael ---> [PARENT] ---> Laura
Michael ---> [PARENT] ---> Sarah"
65,Laura is hitched to James. Their kid Emily had a bday yesterday. They also bought a new printer for the office.,"Laura ---> [SPOUSE] ---> James
James ---> [SPOUSE] ---> Laura
Laura ---> [CHILD] ---> Emily
James ---> [CHILD] ---> Emily
Emily ---> [PARENT] ---> Laura
Emily ---> [PARENT] ---> James"
66,"Sophia was born on 05/12/1980. They are married to Anna. Their child David was born on 02/08/2010. By the way, the price of oranges went up quite a bit this year. Jonathan is the sibling of Sophia.","Sophia ---> [SPOUSE] ---> Anna
Anna ---> [SPOUSE] ---> Sophia
Sophia ---> [CHILD] ---> David
Anna ---> [CHILD] ---> David
David ---> [PARENT] ---> Sophia
David ---> [PARENT] ---> Anna
Sophia ---> [SIBLING] ---> Jonathan
Jonathan ---> [SIBLING] ---> Sophia
Sophia ---> [BIRTHDATE] ---> 05/12/1980
David ---> [BIRTHDATE] ---> 02/08/2010"
67,"Emily visited Olivia along with Sophia. Later, Robert arrived. It was unclear if there was any kinship.",
68,"Jonathan visited Robert along with Olivia. Later, Michael arrived. It was unclear if there was any kinship.",
