id,input,expected_output
1,Laura is hitched to Sarah. Their kid Thomas had a bday yesterday. The internet connection failed several times.,"{""relationships"": [{""subject"": ""Laura"", ""predicate"": ""[SPOUSE]"", ""object"": ""Sarah""}, {""subject"": ""Sarah"", ""predicate"": ""[SPOUSE]"", ""object"": ""Laura""}, {""subject"": ""Laura"", ""predicate"": ""[CHILD]"", ""object"": ""Thomas""}, {""subject"": ""Sarah"", ""predicate"": ""[CHILD]"", ""object"": ""Thomas""}, {""subject"": ""Thomas"", ""predicate"": ""[PARENT]"", ""object"": ""Laura""}, {""subject"": ""Thomas"", ""predicate"": ""[PARENT]"", ""object"": ""Sarah""}], ""birthdates"": []}"
2,Thomas is hitched to James. Their kid Sarah had a bday yesterday. They also bought a new printer for the office.,"{""relationships"": [{""subject"": ""Thomas"", ""predicate"": ""[SPOUSE]"", ""object"": ""James""}, {""subject"": ""James"", ""predicate"": ""[SPOUSE]"", ""object"": ""Thomas""}, {""subject"": ""Thomas"", ""predicate"": ""[CHILD]"", ""object"": ""Sarah""}, {""subject"": ""James"", ""predicate"": ""[CHILD]"", ""object"": ""Sarah""}, {""subject"": ""Sarah"", ""predicate"": ""[PARENT]"", ""object"": ""Thomas""}, {""subject"": ""Sarah"", ""predicate"": ""[PARENT]"", ""object"": ""James""}], ""birthdates"": []}"
3,Emily and Thomas adopted James years ago. Many mistakenly believe they are their nephew. The internet connection failed several times.,"{""relationships"": [{""subject"": ""Emily"", ""predicate"": ""[CHILD]"", ""object"": ""James""}, {""subject"": ""Thomas"", ""predicate"": ""[CHILD]"", ""object"": ""James""}, {""subject"": ""James"", ""predicate"": ""[PARENT]"", ""object"": ""Emily""}, {""subject"": ""James"", ""predicate"": ""[PARENT]"", ""object"": ""Thomas""}], ""birthdates"": []}"
4,Laura was born on 05/12/1980. They are married to Sophia. Their child Olivia was born on 02/08/2010. The temperature reached 34 degrees during the afternoon. Jonathan is the sibling of Laura.,"{""relationships"": [{""subject"": ""Laura"", ""predicate"": ""[SPOUSE]"", ""object"": ""Sophia""}, {""subject"": ""Sophia"", ""predicate"": ""[SPOUSE]"", ""object"": ""Laura""}, {""subject"": ""Laura"", ""predicate"": ""[CHILD]"", ""object"": ""Olivia""}, {""subject"": ""Sophia"", ""predicate"": ""[CHILD]"", ""object"": ""Olivia""}, {""subject"": ""Olivia"", ""predicate"": ""[PARENT]"", ""object"": ""Laura""}, {""subject"": ""Olivia"", ""predicate"": ""[PARENT]"", ""object"": ""Sophia""}, {""subject"": ""Laura"", ""predicate"": ""[SIBLING]"", ""object"": ""Jonathan""}, {""subject"": ""Jonathan"", ""predicate"": ""[SIBLING]"", ""object"": ""Laura""}], ""birthdates"": [{""entity"": ""Laura"", ""date"": ""05/12/1980""}, {""entity"": ""Olivia"", ""date"": ""02/08/2010""}]}"
5,"Olivia was previously married to Sarah, but currently lives with Thomas. Robert is the child of Olivia and Sarah. The team lost three consecutive matches.","{""relationships"": [{""subject"": ""Olivia"", ""predicate"": ""[SPOUSE]"", ""object"": ""Sarah""}, {""subject"": ""Sarah"", ""predicate"": ""[SPOUSE]"", ""object"": ""Olivia""}, {""subject"": ""Olivia"", ""predicate"": ""[CHILD]"", ""object"": ""Robert""}, {""subject"": ""Sarah"", ""predicate"": ""[CHILD]"", ""object"": ""Robert""}, {""subject"": ""Robert"", ""predicate"": ""[PARENT]"", ""object"": ""Olivia""}, {""subject"": ""Robert"", ""predicate"": ""[PARENT]"", ""object"": ""Sarah""}], ""birthdates"": []}"
6,Sarah was born on 05/12/1980. They are married to James. Their child Robert was born on 02/08/2010. The internet connection failed several times. Laura is the sibling of Sarah.,"{""relationships"": [{""subject"": ""Sarah"", ""predicate"": ""[SPOUSE]"", ""object"": ""James""}, {""subject"": ""James"", ""predicate"": ""[SPOUSE]"", ""object"": ""Sarah""}, {""subject"": ""Sarah"", ""predicate"": ""[CHILD]"", ""object"": ""Robert""}, {""subject"": ""James"", ""predicate"": ""[CHILD]"", ""object"": ""Robert""}, {""subject"": ""Robert"", ""predicate"": ""[PARENT]"", ""object"": ""Sarah""}, {""subject"": ""Robert"", ""predicate"": ""[PARENT]"", ""object"": ""James""}, {""subject"": ""Sarah"", ""predicate"": ""[SIBLING]"", ""object"": ""Laura""}, {""subject"": ""Laura"", ""predicate"": ""[SIBLING]"", ""object"": ""Sarah""}], ""birthdates"": [{""entity"": ""Sarah"", ""date"": ""05/12/1980""}, {""entity"": ""Robert"", ""date"": ""02/08/2010""}]}"
7,James and Sarah adopted Robert years ago. Many mistakenly believe they are their nephew. Sometimes they write messages with spelling mistakes.,"{""relationships"": [{""subject"": ""James"", ""predicate"": ""[CHILD]"", ""object"": ""Robert""}, {""subject"": ""Sarah"", ""predicate"": ""[CHILD]"", ""object"": ""Robert""}, {""subject"": ""Robert"", ""predicate"": ""[PARENT]"", ""object"": ""James""}, {""subject"": ""Robert"", ""predicate"": ""[PARENT]"", ""object"": ""Sarah""}], ""birthdates"": []}"
8,Sarah is hitched to James. Their kid Michael had a bday yesterday. They also bought a new printer for the office.,"{""relationships"": [{""subject"": ""Sarah"", ""predicate"": ""[SPOUSE]"", ""object"": ""James""}, {""subject"": ""James"", ""predicate"": ""[SPOUSE]"", ""object"": ""Sarah""}, {""subject"": ""Sarah"", ""predicate"": ""[CHILD]"", ""object"": ""Michael""}, {""subject"": ""James"", ""predicate"": ""[CHILD]"", ""object"": ""Michael""}, {""subject"": ""Michael"", ""predicate"": ""[PARENT]"", ""object"": ""Sarah""}, {""subject"": ""Michael"", ""predicate"": ""[PARENT]"", ""object"": ""James""}], ""birthdates"": []}"
9,"Michael, Emily, James, and Laura participated in a chess tournament. By the way, the price of oranges went up quite a bit this year. No family relationship was indicated.","{""relationships"": [], ""birthdates"": []}"
10,"Robert and Sarah celebrated the birthday of their daughter Thomas. She received many gifts. The conference lasted for more than four hours. Anna, Sarah's sister, also attended.","{""relationships"": [{""subject"": ""Robert"", ""predicate"": ""[CHILD]"", ""object"": ""Thomas""}, {""subject"": ""Sarah"", ""predicate"": ""[CHILD]"", ""object"": ""Thomas""}, {""subject"": ""Thomas"", ""predicate"": ""[PARENT]"", ""object"": ""Robert""}, {""subject"": ""Thomas"", ""predicate"": ""[PARENT]"", ""object"": ""Sarah""}, {""subject"": ""Sarah"", ""predicate"": ""[SIBLING]"", ""object"": ""Anna""}, {""subject"": ""Anna"", ""predicate"": ""[SIBLING]"", ""object"": ""Sarah""}], ""birthdates"": []}"
11,James was born on 05/12/1980. They are married to David. Their child Jonathan was born on 02/08/2010. The internet connection failed several times. Thomas is the sibling of James.,"{""relationships"": [{""subject"": ""James"", ""predicate"": ""[SPOUSE]"", ""object"": ""David""}, {""subject"": ""David"", ""predicate"": ""[SPOUSE]"", ""object"": ""James""}, {""subject"": ""James"", ""predicate"": ""[CHILD]"", ""object"": ""Jonathan""}, {""subject"": ""David"", ""predicate"": ""[CHILD]"", ""object"": ""Jonathan""}, {""subject"": ""Jonathan"", ""predicate"": ""[PARENT]"", ""object"": ""James""}, {""subject"": ""Jonathan"", ""predicate"": ""[PARENT]"", ""object"": ""David""}, {""subject"": ""James"", ""predicate"": ""[SIBLING]"", ""object"": ""Thomas""}, {""subject"": ""Thomas"", ""predicate"": ""[SIBLING]"", ""object"": ""James""}], ""birthdates"": [{""entity"": ""James"", ""date"": ""05/12/1980""}, {""entity"": ""Jonathan"", ""date"": ""02/08/2010""}]}"
12,"Laura and Jonathan celebrated the birthday of their daughter Sarah. She received many gifts. The temperature reached 34 degrees during the afternoon. Robert, Jonathan's sister, also attended.","{""relationships"": [{""subject"": ""Laura"", ""predicate"": ""[CHILD]"", ""object"": ""Sarah""}, {""subject"": ""Jonathan"", ""predicate"": ""[CHILD]"", ""object"": ""Sarah""}, {""subject"": ""Sarah"", ""predicate"": ""[PARENT]"", ""object"": ""Laura""}, {""subject"": ""Sarah"", ""predicate"": ""[PARENT]"", ""object"": ""Jonathan""}, {""subject"": ""Jonathan"", ""predicate"": ""[SIBLING]"", ""object"": ""Robert""}, {""subject"": ""Robert"", ""predicate"": ""[SIBLING]"", ""object"": ""Jonathan""}], ""birthdates"": []}"
13,"Thomas and Anna celebrated the birthday of their daughter Sarah. She received many gifts. No one remembered where the keys were. Robert, Anna's sister, also attended.","{""relationships"": [{""subject"": ""Thomas"", ""predicate"": ""[CHILD]"", ""object"": ""Sarah""}, {""subject"": ""Anna"", ""predicate"": ""[CHILD]"", ""object"": ""Sarah""}, {""subject"": ""Sarah"", ""predicate"": ""[PARENT]"", ""object"": ""Thomas""}, {""subject"": ""Sarah"", ""predicate"": ""[PARENT]"", ""object"": ""Anna""}, {""subject"": ""Anna"", ""predicate"": ""[SIBLING]"", ""object"": ""Robert""}, {""subject"": ""Robert"", ""predicate"": ""[SIBLING]"", ""object"": ""Anna""}], ""birthdates"": []}"
14,"Laura visited Thomas along with David. Later, Michael arrived. It was unclear if there was any kinship.","{""relationships"": [], ""birthdates"": []}"
